version,phase,cycles,prof_cycles,ctrl_cycles,insn,stalls,text,data,bss,image,fips,evidence,closure,mulqacc,calls,prof_err_bits,ctrl_err_bits,prof_ecall,halt_warn
ver1_1,keygen_ntt,13878,14155,277,5340,8538,1668,2720,0,4388,Alg.13 L16–17,Direct,True,0,"{'_load_64x32': 48, '_store_64x32': 48, '_transpose_8x8_w0w16': 24, 'ntt': 6}",0,0,1,
ver1_1,keygen_basemul_basemul_acc,26979,27534,555,8145,18834,2484,5792,0,8276,Alg.13 L18,Direct,True,0,"{'basemul': 3, 'basemul_acc': 9}",0,0,1,
ver1_1,keygen_pack_pk,10695,10968,273,10472,223,640,3552,0,4192,Alg.13 L19,Direct,True,0,"{'pack_pk': 1, 'poly_tobytes': 3}",0,0,1,
ver1_1,keygen_pack_sk,10853,11134,281,10553,300,672,6016,0,6688,Alg.13 L20,Direct,True,0,"{'pack_sk': 1, 'poly_tobytes': 3}",0,0,1,
ver1_1,keygen_hash_h,2206,2472,266,1612,594,668,5312,0,5980,Alg.16 L3,Direct,True,0,"{'_xof_ready_poll': 40, '_xof_rsp_valid_poll': 2, 'xof_absorb': 2, 'xof_finish': 1, 'xof_process': 1, 'xof_sha3_256_init': 1, 'xof_squeeze32': 1}",0,0,1,
ver1_1,keygen_sha3_init_update_final,338,607,269,248,90,676,4288,0,4964,Alg.13 L1 / G(d‖k),Direct,True,0,"{'_xof_ready_poll': 5, '_xof_rsp_valid_poll': 2, 'xof_absorb': 1, 'xof_finish': 1, 'xof_process': 1, 'xof_sha3_512_init': 1, 'xof_squeeze32': 2}",0,0,1,
ver1_1,keygen_poly_getnoise_eta_1,18480,18743,263,17532,948,1692,1248,0,2940,Alg.13 L8–15,Direct,True,0,"{'_xof_ready_poll': 30, '_xof_rsp_valid_poll': 12, 'cbd2': 6, 'poly_getnoise_eta_2': 6, 'xof_absorb': 6, 'xof_finish': 6, 'xof_process': 6, 'xof_shake256_init': 6, 'xof_squeeze32': 24}",0,0,1,
ver1_1,keygen_poly_gen_matrix,46270,46545,275,36528,9742,1436,1248,0,2684,Alg.13 L3–7 / Alg.7,Exact-real-input,True,0,"{'_xof_ready_poll': 45, '_xof_rsp_valid_poll': 45, 'poly_gen_matrix': 9, 'sample_ntt_poly': 9, 'xof_absorb': 9, 'xof_finish': 9, 'xof_process': 9, 'xof_shake128_init': 9, 'xof_squeeze32': 189}",0,0,1,
ver1_1,encap_hash_g,342,614,272,249,93,692,4224,0,4916,Alg.17 L2 / G(m‖H(ek)),Direct,True,0,"{'_xof_ready_poll': 5, '_xof_rsp_valid_poll': 2, 'xof_absorb': 2, 'xof_finish': 1, 'xof_process': 1, 'xof_sha3_512_init': 1, 'xof_squeeze32': 2}",0,0,1,
ver1_1,encap_poly_gen_matrix,46270,46545,275,36528,9742,1436,1248,0,2684,Alg.14 L4–8 / Alg.7,Exact-real-input,True,0,"{'_xof_ready_poll': 45, '_xof_rsp_valid_poll': 45, 'poly_gen_matrix': 9, 'sample_ntt_poly': 9, 'xof_absorb': 9, 'xof_finish': 9, 'xof_process': 9, 'xof_shake128_init': 9, 'xof_squeeze32': 189}",0,0,1,
ver1_1,decap_poly_gen_matrix,46270,46545,275,36528,9742,1436,1248,0,2684,Alg.18 L8→Alg.14 L4–8,Exact-real-input,True,0,"{'_xof_ready_poll': 45, '_xof_rsp_valid_poll': 45, 'poly_gen_matrix': 9, 'sample_ntt_poly': 9, 'xof_absorb': 9, 'xof_finish': 9, 'xof_process': 9, 'xof_shake128_init': 9, 'xof_squeeze32': 189}",0,0,1,
ver1_1,decap_shake_z_ct,2134,2396,262,1558,576,660,1312,0,1972,Alg.18 L9 / J(z‖c),Direct,True,0,"{'_xof_ready_poll': 38, '_xof_rsp_valid_poll': 2, 'xof_absorb': 3, 'xof_finish': 1, 'xof_process': 1, 'xof_shake256_init': 1, 'xof_squeeze32': 1}",0,0,1,
ver1_1,encap_intt,2736,2992,256,960,1776,2828,3264,0,6092,"Alg.14 L19,L21",Direct (单次),False,0,"{'_load_64x32': 8, '_store_64x32': 8, '_transpose_8x8_w0w16': 4, 'intt': 1}",0,0,1,
ver1_1,encap_pack_ciphertext,13038,13309,271,11156,1882,1236,3296,0,4532,Alg.14 L22–24,Direct,True,0,"{'compress_10': 3, 'encode_10': 3, 'encode_4': 1, 'poly_compress': 1}",0,0,1,
ver1_1,encap_unpack_pk,22581,23369,788,22211,370,708,3584,0,4292,Alg.14 L2–3,Direct,True,0,"{'poly_frombytes': 6, 'unpack_pk': 1}",0,0,1,
ver1_1,encap_poly_frommsg,960,1217,257,920,40,1648,1216,0,2864,Alg.14 L20,Direct,True,0,{'poly_frommsg': 1},0,0,1,
ver1_1,decap_unpack_ciphertext,12706,12977,271,11864,842,1236,2272,0,3508,Alg.15 L1–4,Direct,True,0,"{'decode_10': 3, 'decode_4': 1, 'decompress_10': 3, 'poly_decompress': 1}",0,0,1,
ver1_1,decap_poly_sub,250,509,259,148,102,1656,3232,0,4888,Alg.15 L6,Direct,True,0,{'poly_sub': 1},0,0,1,
ver1_1,decap_poly_tomsg,1323,1580,257,857,466,1648,1216,0,2864,Alg.15 L7,Direct,True,0,"{'compress_1': 1, 'encode_1': 1, 'poly_tomsg': 1}",0,0,1,
ver1_1,decap_verify_cmov,244,1064,820,168,76,380,6432,0,6812,Alg.18 L9–10,Direct,True,0,{},0,0,1,
ver1_1,encap_intt_x4,10944,11209,265,3840,7104,2876,3264,0,6140,"Alg.14 L19,L21",Direct,True,0,"{'_load_64x32': 32, '_store_64x32': 32, '_transpose_8x8_w0w16': 16, 'intt': 4}",0,0,1,
ver1_1,encap_noise_x7,21560,21824,264,20454,1106,1700,1248,0,2948,Alg.14 L9–17,Direct,True,0,"{'_xof_ready_poll': 35, '_xof_rsp_valid_poll': 14, 'cbd2': 7, 'poly_getnoise_eta_2': 7, 'xof_absorb': 7, 'xof_finish': 7, 'xof_process': 7, 'xof_shake256_init': 7, 'xof_squeeze32': 28}",0,0,1,
ver1_1,encap_h_ek,2206,2473,267,1612,594,668,1376,0,2044,Alg.17 L1 subexpr.,Direct,True,0,"{'_xof_ready_poll': 40, '_xof_rsp_valid_poll': 2, 'xof_absorb': 2, 'xof_finish': 1, 'xof_process': 1, 'xof_sha3_256_init': 1, 'xof_squeeze32': 1}",0,0,1,
ver1_1,encap_basemul_acc_x12,33852,34523,671,10284,23568,2708,5792,0,8500,"Alg.14 L19,L21",Direct,True,0,"{'basemul': 3, 'basemul_acc': 12}",0,0,1,
